SVM,k-NN,DT
4.003184416,5.075293506,6.519672727
3.950664935,5.079688312,6.520472727
3.87881039,5.079407792,6.522296104
4.080914286,5.078467532,NaN
4.025303896,5.079080519,NaN
3.958602597,5.076654545,NaN
3.939454545,5.07665974,NaN
3.880836364,5.074545455,NaN
4.006924675,5.074306494,NaN
4.000280519,5.073792208,NaN
3.950311688,5.072181818,NaN
3.928083117,5.07025974,NaN
3.871579221,5.071371429,NaN
3.975750649,5.071428571,NaN
3.833553247,5.068638961,NaN
3.916166234,5.067714286,NaN
3.889755844,5.066233766,NaN
3.801012987,5.066072727,NaN
3.888025974,5.065750649,NaN
3.8656,5.063818182,NaN
3.784446753,5.064233766,NaN
3.895885714,5.064774026,NaN
3.776072727,5.064280519,NaN
3.828774026,5.06358961,NaN
3.78187013,5.063698701,NaN
3.91654026,5.064181818,NaN
3.966753247,5.062742857,NaN
3.975127273,5.061755844,NaN
3.899922078,5.060711688,NaN
3.936316883,5.060192208,NaN
4.005615584,5.059662338,NaN
3.945454545,5.060446753,NaN
4.026981818,5.051766234,NaN
4.019433766,5.051922078,NaN
3.948425974,5.047885714,NaN
4.067558442,5.054005195,NaN
4.038306494,5.047423377,NaN
3.946020779,5.048150649,NaN
3.829251948,5.04798961,NaN
4.010711688,5.054794805,NaN
3.958088312,5.055324675,NaN
3.896472727,5.056451948,NaN
3.891319481,5.056815584,NaN
4.011454545,5.056955844,NaN
3.947916883,5.057142857,NaN
3.883963636,5.055979221,NaN
3.878285714,5.055818182,NaN
4.004057143,5.055916883,NaN
3.933038961,5.056301299,NaN
3.932716883,5.055205195,NaN
3.885116883,5.056015584,NaN
3.999387013,5.055262338,NaN
3.920477922,5.054576623,NaN
3.89505974,5.054576623,NaN
3.892098701,5.054696104,NaN
3.938514286,5.05492987,NaN
3.923054545,5.054306494,NaN
3.97972987,5.054888312,NaN
3.753802597,5.054566234,NaN
3.795683117,5.054888312,NaN
4.02625974,5.054535065,NaN
4.025797403,5.054233766,NaN
