SVM,k-NN,DT
5.91492987,5.851651948,6.624405195
5.912815584,5.744176623,6.624467532
5.912732468,5.635303896,6.471781818
5.912706494,5.526119481,6.618067532
5.916509091,5.665075325,6.618711688
5.915028571,5.781875325,NaN
5.912732468,5.844358442,NaN
5.914981818,5.791527273,NaN
5.911418182,5.698597403,NaN
5.909018182,5.554306494,NaN
5.908561039,5.678296104,NaN
5.909387013,5.682342857,NaN
5.908722078,5.903449351,NaN
5.908519481,5.903267532,NaN
5.907735065,NaN,NaN
5.908680519,NaN,NaN
5.908020779,NaN,NaN
5.909033766,NaN,NaN
5.90838961,NaN,NaN
5.911683117,NaN,NaN
5.912680519,NaN,NaN
5.912898701,NaN,NaN
5.911932468,NaN,NaN
5.912114286,NaN,NaN
5.913231169,NaN,NaN
5.912748052,NaN,NaN
5.912415584,NaN,NaN
5.91292987,NaN,NaN
5.912628571,NaN,NaN
5.913402597,NaN,NaN
5.915709091,NaN,NaN
6.559215584,NaN,NaN
6.559579221,NaN,NaN
6.559698701,NaN,NaN
6.561693506,NaN,NaN
