CPU(J),Exhaustivo,Aleatorio,Evolutivo
3.62,3.62,3.7,3.76
3.55,3.55,3.65,3.69
3.69,3.69,3.7,3.79
3.69,3.69,3.82,3.86
3.59,3.59,3.67,3.82
3.51,3.51,3.66,3.71
3.5,3.5,3.65,3.83
3.44,3.44,3.73,3.66
3.5,3.5,3.7,3.82
3.48,3.48,3.72,3.71
3.44,3.44,3.73,3.74
3.51,3.51,3.59,3.77
3.48,3.48,3.77,3.66
3.48,3.48,3.61,3.67
3.5,3.5,3.62,3.63
3.5,3.5,3.74,3.69
3.57,3.57,3.61,3.69
3.53,3.53,3.64,3.74
3.43,3.43,3.74,3.73
3.48,3.48,3.69,3.74
3.5,3.5,3.65,3.71
3.53,3.53,3.7,3.7
3.57,3.57,3.82,3.69
3.5,3.5,3.78,3.76
3.67,3.67,3.91,3.66
3.58,3.58,3.92,3.69
3.57,3.57,4.08,3.67
3.51,3.51,3.98,3.65
3.64,3.64,3.98,3.66
3.55,3.55,4.16,3.65
3.5,3.5,4.12,3.64
3.56,3.56,1.47,3.68
3.52,3.52,0.02,3.7
3.53,3.53,0.02,3.8
3.66,3.66,0.02,3.76
3.52,3.52,,3.84
3.63,3.63,,3.8
3.54,3.54,,3.77
3.57,3.57,,3.67
3.63,3.63,,3.72
3.68,3.68,,3.83
3.62,3.62,,3.75
3.71,3.71,,3.73
3.87,3.87,,3.85
3.83,3.83,,3.71
3.81,3.81,,3.73
3.82,3.82,,3.71
3.81,3.81,,3.85
3.78,3.78,,3.94
3.5,3.5,,3.77
3.63,3.63,,3.7
3.58,3.58,,3.61
3.65,3.65,,3.18
3.63,3.63,,3.19
3.61,3.61,,3.21
3.57,3.57,,3.18
3.59,3.59,,3.2
3.58,3.58,,3.2
3.58,3.58,,3.26
3.58,3.58,,3.2
3.65,3.65,,3.2
3.61,3.61,,3.21
3.58,3.58,,3.2
3.62,3.62,,3.2
3.62,3.62,,3.18
3.57,3.57,,3.26
3.54,3.54,,3.19
3.5,3.5,,3.02
3.45,3.45,,3.03
3.53,3.53,,3.19
3.45,3.45,,2.94
3.51,3.51,,2.93
3.53,3.53,,2.95
3.45,3.45,,2.92
3.47,3.47,,2.92
3.58,3.58,,3.0
3.56,3.56,,2.98
3.47,3.47,,3.64
3.55,3.55,,3.68
3.57,3.57,,3.66
3.47,3.47,,3.49
3.52,3.52,,3.55
3.53,3.53,,3.5
3.51,3.51,,3.57
3.51,3.51,,3.55
3.58,3.58,,3.5
3.55,3.55,,3.5
3.59,3.59,,3.5
3.63,3.63,,3.62
3.53,3.53,,3.55
3.57,3.57,,3.48
3.65,3.65,,3.51
3.54,3.54,,3.62
3.6,3.6,,3.49
3.62,3.62,,3.57
3.56,3.56,,3.58
3.73,3.73,,3.48
3.59,3.59,,3.5
3.56,3.56,,3.48
3.59,3.59,,3.64
3.61,3.61,,3.58
3.67,3.67,,3.5
3.63,3.63,,3.51
3.69,3.69,,3.42
3.52,3.52,,3.53
3.57,3.57,,3.47
3.55,3.55,,3.54
3.62,3.62,,3.42
3.54,3.54,,3.47
3.54,3.54,,3.43
3.55,3.55,,3.45
3.57,3.57,,3.54
3.58,3.58,,3.42
3.61,3.61,,3.54
3.65,3.65,,3.59
3.6,3.6,,3.5
3.55,3.55,,3.45
3.59,3.59,,3.43
3.58,3.58,,3.44
3.65,3.65,,3.59
3.6,3.6,,3.46
3.58,3.58,,3.44
3.62,3.62,,3.44
3.61,3.61,,3.44
3.63,3.63,,3.46
3.62,3.62,,3.53
3.62,3.62,,3.44
3.59,3.59,,3.6
3.57,3.57,,3.53
3.6,3.6,,3.5
3.53,3.53,,3.43
3.51,3.51,,3.41
3.63,3.63,,3.41
3.51,3.51,,3.42
3.55,3.55,,3.41
3.55,3.55,,3.46
3.56,3.56,,3.42
3.48,3.48,,3.53
3.51,3.51,,3.44
3.58,3.58,,3.44
3.53,3.53,,3.48
3.53,3.53,,3.42
3.53,3.53,,3.43
3.55,3.55,,3.41
3.59,3.59,,3.55
3.48,3.48,,3.46
