CPU(J),RAM(J),%CPU,RAM(kB)
3.76,0.48,100,3907976
3.69,0.47,100,3911360
3.79,0.44,100,3911144
3.86,0.44,0,3910420
3.82,0.47,100,3910892
3.71,0.43,100,3909024
3.83,0.43,100,3909028
3.66,0.42,100,3907400
3.82,0.45,100,3907216
3.71,0.42,100,3906820
3.74,0.43,100,3905580
3.77,0.43,100,3904100
3.66,0.42,100,3904956
3.67,0.42,99.3,3905000
3.63,0.41,100,3902852
3.69,0.44,0,3902140
3.69,0.43,100,3901000
3.74,0.43,0,3900876
3.73,0.43,100,3900628
3.74,0.43,100,3899140
3.71,0.43,100,3899460
3.70,0.43,100,3899876
3.69,0.42,100,3899496
3.76,0.44,100,3898964
3.66,0.42,100,3899048
3.69,0.43,100,3899420
3.67,0.42,100,3898312
3.65,0.42,100,3897552
3.66,0.43,100,3896748
3.65,0.42,100,3896348
3.64,0.43,100,3895940
3.68,0.43,0,3896544
3.70,0.45,100,3889860
3.80,0.44,100,3889980
3.76,0.46,100,3886872
3.84,0.44,100,3891584
3.80,0.44,100,3886516
3.77,0.44,100,3887076
3.67,0.42,100,3886952
3.72,0.43,100,3892192
3.83,0.44,100,3892600
3.75,0.43,100,3893468
3.73,0.43,100,3893748
3.85,0.44,100,3893856
3.71,0.43,100,3894000
3.73,0.43,100,3893104
3.71,0.42,100,3892980
3.85,0.43,100,3893056
3.94,0.47,0,3893352
3.77,0.42,100,3892508
3.70,0.42,100,3893132
3.61,0.40,78.1,3892552
3.18,0.36,77.2,3892024
3.19,0.36,76.4,3892024
3.21,0.37,77.1,3892116
3.18,0.36,78.5,3892296
3.20,0.37,76.6,3891816
3.20,0.37,76.4,3892264
3.26,0.36,77.5,3892016
3.20,0.36,77.8,3892264
3.20,0.36,77.8,3891992
3.21,0.37,79.7,3891760
3.20,0.36,79.7,3891380
3.20,0.36,76.6,3891364
3.18,0.37,76.8,3891512
3.26,0.39,76.8,3888164
3.19,0.37,78.4,3891512
3.02,0.35,51.5,3891512
3.03,0.35,52.9,3891388
3.19,0.40,59.4,3884568
2.94,0.34,51.8,3884568
2.93,0.33,52.8,3885644
2.95,0.34,52.6,3885524
2.92,0.34,51.8,3885236
2.92,0.34,51.1,3885444
3.00,0.36,51.4,3885144
2.98,0.34,92.2,3884692
3.64,0.40,100,3884904
3.68,0.45,100,3885352
3.66,0.43,0,3884416
