CPU(J),RAM(J),%CPU,RAM(kB)
3.62,0.56,100,711848
3.55,0.48,100,735032
3.69,0.46,100,731412
3.69,0.47,99.9,740168
3.59,0.54,99.3,728480
3.51,0.51,100,717288
3.50,0.56,100,726128
3.44,0.56,100,725944
3.50,0.59,100,725772
3.48,0.58,100.1,722800
3.44,0.56,99.9,719912
3.51,0.55,100,711292
3.48,0.55,100.1,712088
3.48,0.50,100,710012
3.50,0.55,100,715564
3.50,0.52,100,713472
3.57,0.52,99.9,712376
3.53,0.49,99.9,707324
3.43,0.50,99.9,650756
3.48,0.56,99.9,607644
3.50,0.56,99.3,592404
3.53,0.58,99.9,587036
3.57,0.58,100,575796
3.50,0.57,100,611540
3.67,0.57,100,607308
3.58,0.57,99.3,597620
3.57,0.56,100,593832
3.51,0.57,100,583472
3.64,0.55,100,648280
3.55,0.53,100,648096
3.50,0.49,100,647576
3.56,0.49,100,645992
3.52,0.52,100,652092
3.53,0.52,100,666244
3.66,0.55,100,661308
3.52,0.51,100,660356
3.63,0.52,98.5,663772
3.54,0.56,100,655604
3.57,0.55,100,652968
3.63,0.51,100,653116
3.68,0.52,99.9,652992
3.62,0.56,99.9,658904
3.71,0.54,100,651528
3.87,0.55,100.1,651600
3.83,0.54,100,663484
3.81,0.56,100,655932
3.82,0.54,99.4,646552
3.81,0.54,100.1,648556
3.78,0.59,99.3,646312
3.50,0.63,100.1,655212
3.63,0.59,100,649208
3.58,0.55,98.5,627592
3.65,0.57,100,595252
3.63,0.62,99.9,585496
3.61,0.60,97.9,537984
3.57,0.57,100,572764
3.59,0.57,100.1,579772
3.58,0.55,99.3,568140
3.58,0.55,100,541264
3.58,0.55,100,540836
3.65,0.57,98.6,585168
3.61,0.59,100.1,572196
3.58,0.56,100,552112
3.62,0.54,100.1,549600
3.62,0.55,100,550824
3.57,0.58,100,564676
3.54,0.52,100.1,557868
3.50,0.51,100,557132
3.45,0.50,100.1,570680
3.53,0.52,100,563520
3.45,0.52,100,546972
3.51,0.51,100,547364
3.53,0.52,100,546724
3.45,0.52,100.1,552256
3.47,0.51,100,539168
3.58,0.50,100,538352
3.56,0.51,100,537432
3.47,0.51,100.1,530232
3.55,0.59,99.3,477588
3.57,0.58,100.1,458516
3.47,0.55,100.1,451072
3.52,0.55,100,473120
3.53,0.57,100.1,471652
3.51,0.57,100.1,482764
3.51,0.59,100,466152
3.58,0.59,100,524776
3.55,0.57,100.1,531864
3.59,0.57,100,557504
3.63,0.61,100,558884
3.53,0.59,99.4,556668
3.57,0.59,100,560532
3.65,0.58,100,563876
