%CPU,Exhaustivo,Aleatorio,Evolutivo
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
99.9,99.9,100.0,0.0
99.3,99.3,100.0,100.0
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
100.1,100.1,100.0,100.0
99.9,99.9,100.0,100.0
100.0,100.0,100.0,100.0
100.1,100.1,100.0,100.0
100.0,100.0,100.0,99.3
100.0,100.0,100.0,100.0
100.0,100.0,100.0,0.0
99.9,99.9,100.0,100.0
99.9,99.9,100.0,0.0
99.9,99.9,100.0,100.0
99.9,99.9,99.9,100.0
99.3,99.3,100.0,100.0
99.9,99.9,99.2,100.0
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
100.0,100.0,99.3,100.0
99.3,99.3,100.0,100.0
100.0,100.0,100.0,100.0
100.0,100.0,99.2,100.0
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
100.0,100.0,82.3,100.0
100.0,100.0,2.1,0.0
100.0,100.0,0.0,100.0
100.0,100.0,2.1,100.0
100.0,100.0,0.7,100.0
100.0,100.0,,100.0
98.5,98.5,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
99.9,99.9,,100.0
99.9,99.9,,100.0
100.0,100.0,,100.0
100.1,100.1,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
99.4,99.4,,100.0
100.1,100.1,,100.0
99.3,99.3,,0.0
100.1,100.1,,100.0
100.0,100.0,,100.0
98.5,98.5,,78.1
100.0,100.0,,77.2
99.9,99.9,,76.4
97.9,97.9,,77.1
100.0,100.0,,78.5
100.1,100.1,,76.6
99.3,99.3,,76.4
100.0,100.0,,77.5
100.0,100.0,,77.8
98.6,98.6,,77.8
100.1,100.1,,79.7
100.0,100.0,,79.7
100.1,100.1,,76.6
100.0,100.0,,76.8
100.0,100.0,,76.8
100.1,100.1,,78.4
100.0,100.0,,51.5
100.1,100.1,,52.9
100.0,100.0,,59.4
100.0,100.0,,51.8
100.0,100.0,,52.8
100.0,100.0,,52.6
100.1,100.1,,51.8
100.0,100.0,,51.1
100.0,100.0,,51.4
100.0,100.0,,92.2
100.1,100.1,,100.0
99.3,99.3,,100.0
100.1,100.1,,0.0
100.1,100.1,,100.0
100.0,100.0,,100.0
100.1,100.1,,100.0
100.1,100.1,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.1,100.1,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
99.4,99.4,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
99.9,99.9,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
98.6,98.6,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
99.3,99.3,,100.0
100.1,100.1,,100.0
100.0,100.0,,100.0
99.2,99.2,,100.0
100.1,100.1,,0.0
100.0,100.0,,0.0
100.0,100.0,,100.0
99.9,99.9,,0.0
100.1,100.1,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
99.3,99.3,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.1,100.1,,100.0
100.0,100.0,,100.0
99.3,99.3,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
99.9,99.9,,100.0
99.9,99.9,,100.0
100.0,100.0,,100.0
100.1,100.1,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.1,100.1,,100.0
99.2,99.2,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.0,100.0,,99.2
100.0,100.0,,99.9
100.0,100.0,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.0,100.0,,99.9
100.0,100.0,,100.0
100.0,100.0,,100.0
100.1,100.1,,100.0
100.0,100.0,,100.0
99.9,99.9,,100.0
100.0,100.0,,100.0
100.1,100.1,,100.0
100.0,100.0,,88.4
100.0,100.0,,52.6
100.1,100.1,,54.4
100.0,100.0,,51.8
99.3,99.3,,25.6
100.1,100.1,,28.2
100.0,100.0,,26.1
99.9,99.9,,100.0
100.0,100.0,,100.0
98.7,98.7,,100.0
99.9,99.9,,100.0
97.9,97.9,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.1,100.1,,100.0
100.1,100.1,,99.9
99.9,99.9,,100.0
100.0,100.0,,99.3
100.0,100.0,,100.0
100.0,100.0,,100.0
100.0,100.0,,99.9
100.0,100.0,,100.0
100.0,100.0,,100.0
99.9,99.9,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
100.0,100.0,,100.0
