RAM(J),Exhaustivo,Aleatorio,Evolutivo
0.56,0.56,0.46,0.48
0.48,0.48,0.42,0.47
0.46,0.46,0.43,0.44
0.47,0.47,0.44,0.44
0.54,0.54,0.42,0.47
0.51,0.51,0.42,0.43
0.56,0.56,0.44,0.43
0.56,0.56,0.43,0.42
0.59,0.59,0.43,0.45
0.58,0.58,0.45,0.42
0.56,0.56,0.47,0.43
0.55,0.55,0.41,0.43
0.55,0.55,0.43,0.42
0.5,0.5,0.43,0.42
0.55,0.55,0.41,0.41
0.52,0.52,0.42,0.44
0.52,0.52,0.42,0.43
0.49,0.49,0.45,0.43
0.5,0.5,0.41,0.43
0.56,0.56,0.4,0.43
0.56,0.56,0.39,0.43
0.58,0.58,0.44,0.43
0.58,0.58,0.43,0.42
0.57,0.57,0.44,0.44
0.57,0.57,0.43,0.42
0.57,0.57,0.46,0.43
0.56,0.56,0.46,0.42
0.57,0.57,0.45,0.42
0.55,0.55,0.45,0.43
0.53,0.53,0.46,0.42
0.49,0.49,0.45,0.43
0.49,0.49,0.56,0.43
0.52,0.52,0.31,0.45
0.52,0.52,0.31,0.44
0.55,0.55,0.31,0.46
0.51,0.51,,0.44
0.52,0.52,,0.44
0.56,0.56,,0.44
0.55,0.55,,0.42
0.51,0.51,,0.43
0.52,0.52,,0.44
0.56,0.56,,0.43
0.54,0.54,,0.43
0.55,0.55,,0.44
0.54,0.54,,0.43
0.56,0.56,,0.43
0.54,0.54,,0.42
0.54,0.54,,0.43
0.59,0.59,,0.47
0.63,0.63,,0.42
0.59,0.59,,0.42
0.55,0.55,,0.4
0.57,0.57,,0.36
0.62,0.62,,0.36
0.6,0.6,,0.37
0.57,0.57,,0.36
0.57,0.57,,0.37
0.55,0.55,,0.37
0.55,0.55,,0.36
0.55,0.55,,0.36
0.57,0.57,,0.36
0.59,0.59,,0.37
0.56,0.56,,0.36
0.54,0.54,,0.36
0.55,0.55,,0.37
0.58,0.58,,0.39
0.52,0.52,,0.37
0.51,0.51,,0.35
0.5,0.5,,0.35
0.52,0.52,,0.4
0.52,0.52,,0.34
0.51,0.51,,0.33
0.52,0.52,,0.34
0.52,0.52,,0.34
0.51,0.51,,0.34
0.5,0.5,,0.36
0.51,0.51,,0.34
0.51,0.51,,0.4
0.59,0.59,,0.45
0.58,0.58,,0.43
0.55,0.55,,0.41
0.55,0.55,,0.42
0.57,0.57,,0.4
0.57,0.57,,0.4
0.59,0.59,,0.41
0.59,0.59,,0.41
0.57,0.57,,0.41
0.57,0.57,,0.4
0.61,0.61,,0.41
0.59,0.59,,0.41
0.59,0.59,,0.4
0.58,0.58,,0.42
0.54,0.54,,0.45
0.58,0.58,,0.43
0.58,0.58,,0.42
0.57,0.57,,0.41
0.59,0.59,,0.39
0.6,0.6,,0.46
0.58,0.58,,0.5
0.56,0.56,,0.4
0.58,0.58,,0.4
0.57,0.57,,0.43
0.57,0.57,,0.4
0.57,0.57,,0.39
0.58,0.58,,0.4
0.63,0.63,,0.39
0.59,0.59,,0.4
0.6,0.6,,0.38
0.6,0.6,,0.39
0.58,0.58,,0.39
0.59,0.59,,0.4
0.58,0.58,,0.39
0.6,0.6,,0.39
0.56,0.56,,0.41
0.56,0.56,,0.4
0.55,0.55,,0.39
0.55,0.55,,0.38
0.57,0.57,,0.38
0.57,0.57,,0.39
0.57,0.57,,0.46
0.55,0.55,,0.4
0.59,0.59,,0.4
0.56,0.56,,0.42
0.55,0.55,,0.41
0.56,0.56,,0.41
0.54,0.54,,0.5
0.58,0.58,,0.44
0.55,0.55,,0.39
0.51,0.51,,0.4
0.58,0.58,,0.39
0.56,0.56,,0.39
0.56,0.56,,0.38
0.62,0.62,,0.38
0.58,0.58,,0.38
0.57,0.57,,0.39
0.57,0.57,,0.43
0.56,0.56,,0.38
0.55,0.55,,0.4
0.56,0.56,,0.38
0.57,0.57,,0.4
0.59,0.59,,0.4
0.56,0.56,,0.39
0.56,0.56,,0.39
0.56,0.56,,0.39
0.57,0.57,,0.41
0.55,0.55,,0.4
0.55,0.55,,0.4
0.55,0.55,,0.4
0.58,0.58,,0.39
0.58,0.58,,0.39
0.58,0.58,,0.35
0.57,0.57,,0.34
0.59,0.59,,0.34
0.55,0.55,,0.32
0.55,0.55,,0.33
0.64,0.64,,0.32
0.6,0.6,,0.39
0.57,0.57,,0.4
0.59,0.59,,0.4
0.59,0.59,,0.41
0.66,0.66,,0.4
0.6,0.6,,0.39
0.53,0.53,,0.41
0.47,0.47,,0.41
0.45,0.45,,0.41
0.43,0.43,,0.4
0.42,0.42,,0.4
0.53,0.53,,0.39
0.47,0.47,,0.41
0.46,0.46,,0.39
0.46,0.46,,0.41
0.44,0.44,,0.39
0.48,0.48,,0.39
0.47,0.47,,0.4
0.49,0.49,,0.4
0.48,0.48,,0.44
0.54,0.54,,0.42
0.46,0.46,,0.4
0.49,0.49,,0.4
0.53,0.53,,0.39
0.47,0.47,,0.39
0.46,0.46,,0.4
0.44,0.44,,0.39
0.48,0.48,,0.43
0.44,0.44,,0.39
0.46,0.46,,0.42
0.46,0.46,,0.4
0.46,0.46,,0.42
0.45,0.45,,0.4
0.49,0.49,,0.4
0.47,0.47,,0.39
0.45,0.45,,0.38
0.41,0.41,,0.39
0.57,0.57,,0.39
0.44,0.44,,0.39
0.43,0.43,,0.41
0.43,0.43,,0.39
0.42,0.42,,0.39
0.45,0.45,,0.39
0.54,0.54,,0.39
0.5,0.5,,0.43
0.43,0.43,,0.4
0.4,0.4,,0.39
0.4,0.4,,0.4
0.4,0.4,,0.4
0.41,0.41,,0.39
0.4,0.4,,0.38
0.45,0.45,,0.38
0.41,0.41,,0.38
0.53,0.53,,0.38
0.53,0.53,,0.37
0.42,0.42,,0.37
0.44,0.44,,0.36
0.43,0.43,,0.37
0.45,0.45,,0.37
0.44,0.44,,0.37
0.43,0.43,,0.38
0.4,0.4,,0.37
0.41,0.41,,0.37
0.45,0.45,,0.37
0.42,0.42,,0.33
0.4,0.4,,0.33
0.56,0.56,,0.41
0.58,0.58,,0.41
0.55,0.55,,0.4
0.56,0.56,,0.4
0.57,0.57,,0.45
0.57,0.57,,0.42
0.43,0.43,,0.41
0.43,0.43,,0.45
0.46,0.46,,0.41
0.46,0.46,,0.42
0.48,0.48,,0.41
0.46,0.46,,0.41
0.47,0.47,,0.42
0.45,0.45,,0.41
0.52,0.52,,0.41
0.48,0.48,,0.42
0.5,0.5,,0.4
0.45,0.45,,0.41
0.54,0.54,,0.4
0.57,0.57,,0.42
0.49,0.49,,0.4
0.46,0.46,,0.43
0.47,0.47,,0.41
0.48,0.48,,0.41
0.48,0.48,,0.4
0.53,0.53,,0.41
0.47,0.47,,0.44
0.6,0.6,,0.4
0.6,0.6,,0.4
0.55,0.55,,0.4
0.57,0.57,,0.39
0.46,0.46,,0.4
0.43,0.43,,0.4
0.4,0.4,,0.4
0.41,0.41,,0.4
0.4,0.4,,0.4
0.42,0.42,,0.4
0.45,0.45,,0.41
0.41,0.41,,0.41
0.46,0.46,,0.41
0.42,0.42,,0.41
0.53,0.53,,0.39
0.49,0.49,,0.4
0.55,0.55,,0.4
0.43,0.43,,0.42
0.49,0.49,,0.39
0.43,0.43,,0.39
0.48,0.48,,0.39
0.64,0.64,,0.38
0.45,0.45,,0.38
0.43,0.43,,0.38
0.45,0.45,,0.39
0.42,0.42,,0.41
0.4,0.4,,0.38
0.41,0.41,,0.37
0.4,0.4,,0.37
0.47,0.47,,0.37
0.46,0.46,,0.37
0.41,0.41,,0.37
0.4,0.4,,0.39
0.39,0.39,,0.38
0.4,0.4,,0.37
0.42,0.42,,0.37
0.39,0.39,,0.36
0.41,0.41,,0.37
0.4,0.4,,0.37
0.39,0.39,,0.37
0.51,0.51,,0.39
0.43,0.43,,0.37
0.42,0.42,,0.37
0.39,0.39,,0.36
0.4,0.4,,0.37
0.4,0.4,,0.37
0.41,0.41,,0.35
0.45,0.45,,0.36
0.43,0.43,,0.33
0.47,0.47,,0.34
0.43,0.43,,0.34
0.44,0.44,,0.33
0.45,0.45,,0.33
