CPU(J),RAM(J),%CPU,RAM(kB)
3.70,0.46,100,4554496
3.65,0.42,100,4552868
3.70,0.43,100,4552804
3.82,0.44,100,4552784
3.67,0.42,100,4555712
3.66,0.42,100,4554572
3.65,0.44,100,4552804
3.73,0.43,100,4554536
3.70,0.43,100,4551792
3.72,0.45,100,4549944
3.73,0.47,100,4549592
3.59,0.41,100,4550228
3.77,0.43,100,4549716
3.61,0.43,100,4549560
3.62,0.41,100,4548956
3.74,0.42,100,4549684
3.61,0.42,100,4549176
3.64,0.45,100,4549956
3.74,0.41,100,4549460
3.69,0.40,99.9,4551996
3.65,0.39,100,4552764
3.70,0.44,99.2,4552932
3.82,0.43,100,4552188
3.78,0.44,100,4552328
3.91,0.43,99.3,4553188
3.92,0.46,100,4552816
4.08,0.46,100,4552560
3.98,0.45,99.2,4552956
3.98,0.45,100,4552724
4.16,0.46,100,4553320
4.12,0.45,82.3,4555096
1.47,0.56,2.1,5050596
0.02,0.31,0,5050876
0.02,0.31,2.1,5050968
0.02,0.31,0.7,5052504
