Exhaustivo,Aleatorio,Evolutivo
0.9244779221,5.91492987,4.003184416
0.954587013,5.912815584,3.950664935
0.9498857143,5.912732468,3.87881039
0.9612571429,5.912706494,4.080914286
0.9460779221,5.916509091,4.025303896
0.9315428571,5.915028571,3.958602597
0.9430233766,5.912732468,3.939454545
0.9427844156,5.914981818,3.880836364
0.942561039,5.911418182,4.006924675
0.9387012987,5.909018182,4.000280519
0.9349506494,5.908561039,3.950311688
0.9237558442,5.909387013,3.928083117
0.9247896104,5.908722078,3.871579221
0.9220935065,5.908519481,3.975750649
0.9293038961,5.907735065,3.833553247
0.926587013,5.908680519,3.916166234
0.9251636364,5.908020779,3.889755844
0.9186025974,5.909033766,3.801012987
0.8451376623,5.90838961,3.888025974
0.7891480519,5.911683117,3.8656
0.7693558442,5.912680519,3.784446753
0.7623844156,5.912898701,3.895885714
0.747787013,5.911932468,3.776072727
0.7942077922,5.912114286,3.828774026
0.7887116883,5.913231169,3.78187013
0.7761298701,5.912748052,3.91654026
0.7712103896,5.912415584,3.966753247
0.7577558442,5.91292987,3.975127273
0.8419220779,5.912628571,3.899922078
0.8416831169,5.913402597,3.936316883
0.8410077922,5.915709091,4.005615584
0.8389506494,6.559215584,3.945454545
0.8468727273,6.559579221,4.026981818
0.8652519481,6.559698701,4.019433766
0.8588415584,6.561693506,3.948425974
0.8576051948,0.8576051948,4.067558442
0.8620415584,0.8620415584,4.038306494
0.8514337662,0.8514337662,3.946020779
0.8480103896,0.8480103896,3.829251948
0.8482025974,0.8482025974,4.010711688
0.8480415584,0.8480415584,3.958088312
0.8557194805,0.8557194805,3.896472727
0.8461402597,0.8461402597,3.891319481
0.8462337662,0.8462337662,4.011454545
0.8616675325,0.8616675325,3.947916883
0.8518597403,0.8518597403,3.883963636
0.8396779221,0.8396779221,3.878285714
0.8422805195,0.8422805195,4.004057143
0.8393662338,0.8393662338,3.933038961
0.8509246753,0.8509246753,3.932716883
0.8431272727,0.8431272727,3.885116883
0.8150545455,0.8150545455,3.999387013
0.7730545455,0.7730545455,3.920477922
0.7603844156,0.7603844156,3.89505974
0.6986805195,0.6986805195,3.892098701
0.7438493506,0.7438493506,3.938514286
0.7529506494,0.7529506494,3.923054545
0.7378441558,0.7378441558,3.97972987
0.7029402597,0.7029402597,3.753802597
0.7023844156,0.7023844156,3.795683117
0.7599584416,0.7599584416,4.02625974
0.7431116883,0.7431116883,4.025797403
0.7170285714,0.7170285714,4.025283117
0.7137662338,0.7137662338,4.025532468
0.7153558442,0.7153558442,4.02505974
0.7333454545,0.7333454545,4.025579221
0.7245038961,0.7245038961,4.006057143
0.7235480519,0.7235480519,3.66241039
0.7411428571,0.7411428571,3.552607792
0.7318441558,0.7318441558,4.006067532
0.7103532468,0.7103532468,4.005262338
0.7108623377,0.7108623377,4.00494026
0.7100311688,0.7100311688,4.005412987
0.7172155844,0.7172155844,4.004607792
0.7002181818,0.7002181818,3.576576623
0.6991584416,0.6991584416,3.869527273
0.6979636364,0.6979636364,3.957433766
0.688612987,0.688612987,3.986571429
0.6202441558,0.6202441558,3.955542857
0.5954753247,0.5954753247,3.989901299
0.5858077922,0.5858077922,3.960732468
0.6144415584,0.6144415584,3.996306494
0.6125350649,0.6125350649,3.966753247
0.6269662338,0.6269662338,3.995246753
0.6053922078,0.6053922078,3.965142857
0.6815272727,0.6815272727,3.93694026
0.6907324675,0.6907324675,3.490379221
0.7240311688,0.7240311688,3.774675325
0.7258233766,0.7258233766,3.460576623
0.7229454545,0.7229454545,3.410155844
0.7279636364,0.7279636364,3.723532468
0.7323064935,0.7323064935,NaN
0.7701714286,0.7701714286,NaN
0.7569766234,0.7569766234,NaN
0.7524675325,0.7524675325,NaN
0.7512779221,0.7512779221,NaN
0.7505558442,0.7505558442,NaN
0.769387013,0.769387013,NaN
0.7430805195,0.7430805195,NaN
0.7437766234,0.7437766234,NaN
0.7485402597,0.7485402597,NaN
0.7486597403,0.7486597403,NaN
0.7313558442,0.7313558442,NaN
0.7318909091,0.7318909091,NaN
0.7317142857,0.7317142857,NaN
0.7501194805,0.7501194805,NaN
0.730612987,0.730612987,NaN
0.7359376623,0.7359376623,NaN
0.7533974026,0.7533974026,NaN
0.7671324675,0.7671324675,NaN
0.7287324675,0.7287324675,NaN
0.7188467532,0.7188467532,NaN
0.7085662338,0.7085662338,NaN
0.8021298701,0.8021298701,NaN
0.798612987,0.798612987,NaN
0.7992571429,0.7992571429,NaN
0.7970285714,0.7970285714,NaN
0.8210181818,0.8210181818,NaN
