CPU(J),Exhaustivo,Aleatorio,Evolutivo
3.34,3.34,3.42,3.23
3.4,3.4,3.21,3.26
3.28,3.28,3.16,3.3
3.31,3.31,3.21,3.31
3.37,3.37,3.24,3.3
3.42,3.42,3.28,3.2
3.24,3.24,3.32,3.25
3.33,3.33,3.23,3.23
3.31,3.31,3.32,3.3
3.29,3.29,3.33,3.26
3.37,3.37,3.23,3.17
3.29,3.29,3.25,3.28
3.25,3.25,3.37,3.24
3.48,3.48,2.76,3.37
3.41,3.41,,3.19
3.33,3.33,,3.37
3.32,3.32,,3.31
3.3,3.3,,3.19
3.4,3.4,,3.35
3.25,3.25,,3.24
3.34,3.34,,3.26
3.51,3.51,,3.3
3.37,3.37,,3.33
3.26,3.26,,3.3
3.3,3.3,,3.31
3.24,3.24,,3.26
3.37,3.37,,3.32
3.28,3.28,,3.4
3.25,3.25,,3.39
3.39,3.39,,3.37
3.44,3.44,,3.35
3.29,3.29,,3.41
3.35,3.35,,3.35
3.28,3.28,,3.41
3.24,3.24,,3.12
3.35,3.35,,2.96
3.25,3.25,,2.99
3.35,3.35,,3.06
3.45,3.45,,3.54
3.26,3.26,,3.45
3.27,3.27,,3.32
3.33,3.33,,3.27
3.26,3.26,,3.34
3.24,3.24,,3.41
3.33,3.33,,3.25
3.24,3.24,,3.25
3.33,3.33,,3.26
3.47,3.47,,3.4
3.35,3.35,,3.25
3.24,3.24,,3.29
3.31,3.31,,3.28
3.37,3.37,,3.4
3.23,3.23,,3.29
3.29,3.29,,3.29
3.24,3.24,,3.39
3.26,3.26,,3.38
3.35,3.35,,3.36
3.29,3.29,,3.31
3.35,3.35,,3.7
3.25,3.25,,3.56
3.31,3.31,,3.54
3.32,3.32,,2.97
3.33,3.33,,2.97
3.34,3.34,,2.97
3.27,3.27,,2.97
3.46,3.46,,3.08
3.41,3.41,,3.08
3.27,3.27,,3.07
3.36,3.36,,3.65
3.22,3.22,,3.44
3.29,3.29,,3.1
3.29,3.29,,3.05
3.25,3.25,,3.0
3.32,3.32,,3.03
3.27,3.27,,3.83
3.42,3.42,,3.65
3.27,3.27,,2.95
3.32,3.32,,3.01
3.34,3.34,,3.09
3.24,3.24,,3.0
3.23,3.23,,2.96
3.35,3.35,,2.98
3.25,3.25,,2.96
3.31,3.31,,2.99
3.4,3.4,,3.03
3.31,3.31,,3.11
3.23,3.23,,3.64
3.33,3.33,,3.61
3.29,3.29,,3.71
3.28,3.28,,3.64
3.32,3.32,,3.62
3.36,3.36,,
3.42,3.42,,
3.23,3.23,,
3.23,3.23,,
