CPU(J),RAM(J),%CPU,RAM(kB)
3.23,0.43,100,3082452
3.26,0.39,100,3042012
3.30,0.51,100,2986684
3.31,0.59,100,3142304
3.30,0.38,100,3099484
3.20,0.38,100,3048124
3.25,0.45,100,3033380
3.23,0.57,100.1,2988244
3.30,0.57,100,3085332
3.26,0.47,100,3080216
3.17,0.41,100,3041740
3.28,0.46,100,3024624
3.24,0.44,100,2981116
3.37,0.51,100.1,3061328
3.19,0.41,99.9,2951836
3.37,0.49,100,3015448
3.31,0.37,99.9,2995112
3.19,0.42,99.9,2926780
3.35,0.47,100,2993780
3.24,0.35,100,2976512
3.26,0.45,100,2914024
3.30,0.42,100,2999832
3.33,0.45,100,2907576
3.30,0.34,100,2948156
3.31,0.43,100,2912040
3.26,0.41,100,3015736
3.32,0.44,100,3054400
3.40,0.40,100.1,3060848
3.39,0.40,100,3002940
3.37,0.32,100,3030964
3.35,0.41,100,3084324
3.41,0.42,100,3038000
3.35,0.38,100,3100776
3.41,0.33,89.2,3094964
3.12,0.33,77.5,3040288
2.96,0.32,64.3,3132020
2.99,0.33,60.8,3109496
3.06,0.37,100,3038436
3.54,0.53,100,2948524
3.45,0.51,99.9,3088248
3.32,0.48,99.9,3047728
3.27,0.34,100,3000284
3.34,0.34,100,2996316
3.41,0.48,100,3088820
3.25,0.41,100,3039896
3.25,0.35,100,2990652
3.26,0.34,100,2986280
3.40,0.43,100.1,3083124
3.25,0.32,100,3028440
3.29,0.36,100,3028192
3.28,0.44,100,2991540
3.40,0.42,100,3079528
3.29,0.38,99.9,3018768
3.29,0.34,99.9,2999196
3.39,0.40,100,2996916
3.38,0.36,100,3032656
3.36,0.45,100,3020752
3.31,0.33,93.1,3064392
3.70,0.53,100,2890428
3.56,0.53,100,2922676
3.54,0.52,78.3,3100220
2.97,0.32,56.5,3099864
2.97,0.32,55,3099468
2.97,0.32,53.6,3099660
2.97,0.32,52.6,3099296
3.08,0.35,64.1,3099696
3.08,0.36,61.9,3084664
3.07,0.43,100,2820056
3.65,0.67,100,2735508
3.44,0.55,59.5,3084672
3.10,0.40,61.6,3084052
3.05,0.38,53.3,3083804
3.00,0.32,52.8,3084168
3.03,0.32,62.8,3083548
3.83,0.62,100,2753964
3.65,0.62,100,2979536
2.95,0.32,57.8,3047224
3.01,0.37,58.6,3069660
3.09,0.37,58.8,3045768
3.00,0.34,60.6,3072224
2.96,0.32,59,3049764
2.98,0.35,52.6,3077156
2.96,0.32,57,3054400
2.99,0.33,58.1,3076340
3.03,0.37,61.6,3053160
3.11,0.38,53.7,3031444
3.64,0.58,100,2687592
3.61,0.72,100,2906500
3.71,0.60,91.5,2664644
3.64,0.62,100,2625820
3.62,0.62,100,2867120
