CPU(J),RAM(J),%CPU,RAM(kB)
3.34,0.32,100,4761052
3.40,0.34,100,4761632
3.28,0.35,100,4760852
3.31,0.34,100,4761572
3.37,0.37,100,4760532
3.42,0.35,100,4760380
3.24,0.34,100,4759896
3.33,0.32,100,4759600
3.31,0.39,100,4759464
3.29,0.33,0,4759520
3.37,0.41,100,4759896
3.29,0.33,100,4759456
3.25,0.35,100,4759376
3.48,0.39,100,4760228
3.41,0.33,0,4759600
3.33,0.34,100,4759432
3.32,0.33,100,4759160
3.30,0.33,0,4758940
3.40,0.41,100,4759360
3.25,0.31,100,4759196
3.34,0.40,100,4757880
3.51,0.34,0,4757920
3.37,0.41,100,4758196
3.26,0.34,100,4757972
3.30,0.41,100,4758308
3.24,0.32,100,4757732
3.37,0.40,100,4757812
3.28,0.35,100,4758328
3.25,0.35,100,4758460
3.39,0.33,100,4758824
3.44,0.34,100,4758632
3.29,0.38,100,4758988
3.35,0.37,0,4757700
3.28,0.32,100,4758692
3.24,0.32,100,4758740
3.35,0.41,100,4758756
3.25,0.32,100,4758064
3.35,0.37,0,4758476
3.45,0.33,0,4758392
3.26,0.36,100,4758488
3.27,0.32,100,4758724
3.33,0.39,100,4756732
3.26,0.33,100,4757336
3.24,0.36,100,4756900
3.33,0.33,100,4756948
3.24,0.34,100,4757204
3.33,0.37,100,4756824
3.47,0.36,100,4756964
3.35,0.34,100,4756700
3.24,0.32,100,4757096
3.31,0.38,100,4756344
3.37,0.36,100,4757948
3.23,0.41,100,4674120
3.29,0.39,100,4650528
3.24,0.35,100,4649512
3.26,0.37,100,4649608
3.35,0.40,100,4648876
3.29,0.43,100,4649280
3.35,0.36,100,4648692
3.25,0.38,100,4804952
3.31,0.36,100,4789404
3.32,0.41,100,4729752
3.33,0.42,100,4756296
3.34,0.40,100,4756748
3.27,0.34,0,4756616
3.46,0.37,100,4756472
3.41,0.36,100,4755784
3.27,0.35,0,4756064
3.36,0.34,100,4756536
3.22,0.36,0,4756536
3.29,0.36,100,4756668
3.29,0.32,100,4756032
3.25,0.33,100,4756700
3.32,0.32,100,4755348
3.27,0.33,100,4755196
3.42,0.37,100,4755056
3.27,0.40,100,4755552
3.32,0.34,100,4755596
3.34,0.38,100,4754952
3.24,0.34,100,4755472
3.23,0.31,100,4754744
3.35,0.37,100,4755284
3.25,0.33,100,4755828
3.31,0.36,100,4754612
3.40,0.39,100,4754984
3.31,0.35,100,4755084
3.23,0.32,100,4754768
3.33,0.41,100,4755720
