Exhaustivo,Aleatorio,Evolutivo
6.183184416,5.851651948,5.075293506
6.183937662,5.744176623,5.079688312
6.182924675,5.635303896,5.079407792
6.18385974,5.526119481,5.078467532
6.182509091,5.665075325,5.079080519
6.182311688,5.781875325,5.076654545
6.181683117,5.844358442,5.07665974
6.181298701,5.791527273,5.074545455
6.181122078,5.698597403,5.074306494
6.181194805,5.554306494,5.073792208
6.181683117,5.678296104,5.072181818
6.181111688,5.682342857,5.07025974
6.181007792,5.903449351,5.071371429
6.182114286,5.903267532,5.071428571
6.181298701,NaN,5.068638961
6.181080519,NaN,5.067714286
6.180727273,NaN,5.066233766
6.180441558,NaN,5.066072727
6.180987013,NaN,5.065750649
6.180774026,NaN,5.063818182
6.179064935,NaN,5.064233766
6.179116883,NaN,5.064774026
6.179475325,NaN,5.064280519
6.179184416,NaN,5.06358961
6.179620779,NaN,5.063698701
6.178872727,NaN,5.064181818
6.178976623,NaN,5.062742857
6.179646753,NaN,5.061755844
6.179818182,NaN,5.060711688
6.180290909,NaN,5.060192208
6.180041558,NaN,5.059662338
6.180503896,NaN,5.060446753
6.178831169,NaN,5.051766234
6.180119481,NaN,5.051922078
6.180181818,NaN,5.047885714
6.180202597,NaN,5.054005195
6.179303896,NaN,5.047423377
6.179838961,NaN,5.048150649
6.17972987,NaN,5.04798961
6.179854545,NaN,5.054794805
6.180161039,NaN,5.055324675
6.177574026,NaN,5.056451948
6.178358442,NaN,5.056815584
6.177792208,NaN,5.056955844
6.177854545,NaN,5.057142857
6.178187013,NaN,5.055979221
6.177693506,NaN,5.055818182
6.177875325,NaN,5.055916883
6.177532468,NaN,5.056301299
6.178046753,NaN,5.055205195
6.17707013,NaN,5.056015584
6.179153247,NaN,5.055262338
6.070285714,NaN,5.054576623
6.039646753,NaN,5.054576623
6.038327273,NaN,5.054696104
6.038451948,NaN,5.05492987
6.037501299,NaN,5.054306494
6.038025974,NaN,5.054888312
6.037262338,NaN,5.054566234
6.240197403,NaN,5.054888312
6.220005195,NaN,5.054535065
6.142535065,NaN,5.054233766
6.177007792,NaN,5.05374026
6.177594805,NaN,5.053719481
6.177423377,NaN,5.053911688
6.177236364,NaN,5.049563636
6.176342857,NaN,5.053911688
6.176706494,NaN,5.053911688
6.177319481,NaN,5.053750649
6.177319481,NaN,5.044893506
6.177490909,NaN,5.044893506
6.176664935,NaN,5.046290909
6.177532468,NaN,5.046135065
6.175776623,NaN,5.045761039
6.175579221,NaN,5.046031169
6.175397403,NaN,5.045641558
6.176041558,NaN,5.045054545
6.176098701,NaN,5.04532987
6.175262338,NaN,5.045911688
6.175937662,NaN,5.044696104
6.174992208,NaN,5.041225974
6.175693506,NaN,5.039153247
6.1764,NaN,5.037979221
6.174820779,NaN,5.038109091
6.175303896,NaN,5.035823377
6.175433766,NaN,5.030498701
6.175023377,NaN,5.028181818
6.17625974,NaN,5.028457143
6.175355844,NaN,5.028758442
6.175677922,NaN,5.028155844
6.1756,NaN,5.028488312
6.175361039,NaN,5.034623377
6.175849351,NaN,5.029381818
6.175064935,NaN,5.028581818
6.175615584,NaN,5.019511688
6.17545974,NaN,5.022997403
6.174727273,NaN,5.022498701
6.175407792,NaN,5.030202597
6.174935065,NaN,5.147018182
6.175350649,NaN,5.178981818
6.174924675,NaN,5.178680519
6.175168831,NaN,5.179958442
6.174841558,NaN,5.17825974
6.174815584,NaN,5.17932987
6.175532468,NaN,5.181148052
6.174794805,NaN,5.180254545
6.173979221,NaN,5.180161039
6.175038961,NaN,5.179168831
6.173838961,NaN,5.179137662
6.174945455,NaN,5.17761039
6.174716883,NaN,5.178109091
6.175246753,NaN,5.177766234
6.174935065,NaN,5.177553247
6.175267532,NaN,5.177501299
6.175038961,NaN,5.177220779
6.174431169,NaN,5.177101299
6.175090909,NaN,5.177563636
6.174503896,NaN,5.177381818
6.174997403,NaN,5.171506494
6.175251948,NaN,5.061761039
6.174161039,NaN,5.036135065
6.174503896,NaN,5.035574026
6.174888312,NaN,5.028124675
6.17545974,NaN,5.225111688
6.173709091,NaN,5.188077922
6.173766234,NaN,5.132483117
6.175693506,NaN,5.14892987
6.175745455,NaN,5.147267532
6.17478961,NaN,5.146805195
6.174737662,NaN,5.146649351
6.17505974,NaN,5.146794805
6.175080519,NaN,5.14758961
6.174405195,NaN,5.147236364
6.174337662,NaN,5.147288312
6.174566234,NaN,5.157568831
6.174748052,NaN,5.171168831
6.174212987,NaN,5.171361039
6.175049351,NaN,5.171392208
6.174493506,NaN,5.163802597
6.173818182,NaN,5.164083117
6.174353247,NaN,5.160462338
6.174462338,NaN,5.158316883
6.174654545,NaN,5.157376623
6.172680519,NaN,5.157179221
6.173662338,NaN,5.156748052
6.173932468,NaN,5.156716883
6.174124675,NaN,5.156851948
6.173802597,NaN,5.149298701
6.173651948,NaN,5.148794805
6.174384416,NaN,5.141527273
6.173506494,NaN,5.14401039
6.17454026,NaN,5.144150649
6.173745455,NaN,5.150275325
6.173958442,NaN,5.150462338
6.173558442,NaN,5.150524675
6.173485714,NaN,5.150566234
6.17361039,NaN,5.149236364
6.173922078,NaN,5.148368831
6.17361039,NaN,5.149885714
6.17385974,NaN,5.148581818
6.173387013,NaN,5.150212987
6.17401039,NaN,5.148202597
6.173179221,NaN,5.148649351
6.173075325,NaN,5.14827013
6.173558442,NaN,5.149787013
6.173288312,NaN,5.149075325
6.173922078,NaN,5.149137662
6.172555844,NaN,5.149776623
6.173620779,NaN,5.149231169
6.173781818,NaN,5.149558442
6.061251948,NaN,5.148223377
6.16347013,NaN,5.147906494
6.164348052,NaN,5.148109091
6.165605195,NaN,5.148051948
6.165303896,NaN,5.149625974
6.165594805,NaN,5.149397403
6.166119481,NaN,5.148451948
6.165932468,NaN,5.148727273
6.165688312,NaN,5.148581818
6.165132468,NaN,5.149890909
6.166420779,NaN,5.148753247
6.165776623,NaN,5.149007792
6.165080519,NaN,5.149516883
6.165293506,NaN,5.141735065
6.165766234,NaN,5.117283117
6.164981818,NaN,5.025225974
6.165787013,NaN,5.038581818
6.165303896,NaN,5.040716883
6.165464935,NaN,5.040041558
6.165937662,NaN,5.039288312
6.165350649,NaN,5.039075325
6.166161039,NaN,5.039122078
6.165787013,NaN,5.039407792
6.165012987,NaN,5.039277922
6.165293506,NaN,5.033309091
6.165948052,NaN,5.030561039
6.190737662,NaN,5.023646753
6.174046753,NaN,5.024638961
6.175771429,NaN,5.022498701
6.178612987,NaN,5.022150649
6.17918961,NaN,5.027449351
6.178509091,NaN,5.031044156
6.178057143,NaN,5.03145974
6.178,NaN,5.031677922
6.17852987,NaN,5.032161039
6.179122078,NaN,5.031548052
6.178015584,NaN,5.031553247
6.178680519,NaN,5.031537662
6.178384416,NaN,5.031345455
6.178358442,NaN,5.031168831
6.178509091,NaN,5.031205195
6.178327273,NaN,5.029797403
6.1788,NaN,5.030098701
6.178576623,NaN,5.028446753
6.177454545,NaN,5.029605195
6.177553247,NaN,5.027038961
6.178114286,NaN,5.029755844
6.178633766,NaN,5.029937662
6.177979221,NaN,5.028649351
6.17798961,NaN,5.028306494
6.178867532,NaN,5.029293506
6.178041558,NaN,5.029755844
6.193023377,NaN,5.026155844
6.193563636,NaN,5.028763636
6.193916883,NaN,5.029283117
6.1928,NaN,5.02878961
6.192114286,NaN,5.02814026
6.193444156,NaN,5.029568831
6.193433766,NaN,5.030015584
6.193584416,NaN,5.029527273
6.193574026,NaN,5.0296
6.193101299,NaN,5.028898701
6.193745455,NaN,5.028742857
6.19292987,NaN,5.029220779
6.193137662,NaN,5.028898701
6.193906494,NaN,5.02865974
6.193594805,NaN,5.027584416
6.193272727,NaN,5.027309091
6.193496104,NaN,5.028628571
6.193257143,NaN,5.0288
6.193293506,NaN,5.027922078
6.19281039,NaN,5.028405195
6.193418182,NaN,5.027080519
6.193948052,NaN,5.02745974
6.193677922,NaN,5.026794805
6.193496104,NaN,5.027454545
6.19385974,NaN,5.02921039
6.192893506,NaN,5.027319481
6.193007792,NaN,5.027620779
6.192550649,NaN,5.027948052
6.193262338,NaN,5.026966234
6.193033766,NaN,5.024290909
6.192841558,NaN,5.024805195
6.193625974,NaN,5.022961039
6.193184416,NaN,5.019028571
6.193044156,NaN,5.018924675
6.192872727,NaN,5.016425974
6.193366234,NaN,5.017225974
6.193511688,NaN,5.018379221
6.192057143,NaN,5.017703896
6.1924,NaN,5.017714286
6.19254026,NaN,5.017080519
6.191766234,NaN,5.016909091
6.187225974,NaN,5.0168
6.065719481,NaN,5.017283117
6.052571429,NaN,5.016477922
6.052077922,NaN,5.016950649
6.051745455,NaN,5.01641039
6.235220779,NaN,5.017023377
6.190212987,NaN,5.017184416
6.190763636,NaN,5.016587013
6.191423377,NaN,5.016633766
6.190919481,NaN,5.015542857
6.191028571,NaN,5.015350649
6.191012987,NaN,5.010488312
6.192124675,NaN,5.005194805
6.192171429,NaN,4.999225974
6.191953247,NaN,4.999672727
6.191781818,NaN,4.999184416
6.191932468,NaN,4.998571429
6.192124675,NaN,4.999688312
6.191490909,NaN,5.001480519
6.191298701,NaN,5.001558442
6.191298701,NaN,5.001381818
6.191781818,NaN,5.000997403
6.191953247,NaN,5.001662338
6.191319481,NaN,5.001236364
6.189548052,NaN,5.000836364
6.190031169,NaN,5.000836364
6.190181818,NaN,5.000514286
6.189163636,NaN,5.001620779
6.188909091,NaN,5.000664935
6.189896104,NaN,5.000987013
6.189683117,NaN,5.000987013
6.189709091,NaN,5.000353247
6.189402597,NaN,5.000997403
6.188831169,NaN,5.000997403
